Model,Triple_Precision,Triple_Recall,Triple_F1,Error_Rate,Triple_w_Parents_F1,Triple_w_Related_F1
Z_synthIE_large_fe,0.835,0.832,0.831,0.000,0.841,0.858
Z_synthIE_base_sc,0.789,0.798,0.789,0.000,0.819,0.833
Z_synthIE_base_fe,0.784,0.769,0.775,0.000,0.812,0.826
H_Full-Network-Architecture_Gen2,0.728,0.635,0.665,0.000,0.728,0.728
I_Advance_Adaption_Baseline,0.538,0.578,0.552,0.000,0.619,0.627
I_Advance_Adaption_One_Agent,0.667,0.484,0.545,0.020,0.584,0.584
C_Error_Incorporation_Baseline,0.431,0.507,0.456,0.000,0.525,0.525
E_One_Agent_Architecture,0.485,0.438,0.456,0.060,0.511,0.511
F_URI_Retrieval_Filtering_Gen1v2,0.455,0.451,0.449,0.040,0.495,0.503
F_URI_Retrieval_Filtering_One_Agent,0.473,0.419,0.440,0.020,0.484,0.491
Z_GenIE_base_fe,0.527,0.344,0.391,0.000,0.406,0.419
D_System_Simplification,0.376,0.410,0.385,0.020,0.423,0.423
G_KG_Incorporation_NTT,0.390,0.362,0.373,0.240,0.438,0.448
Z_GenIE_base_sc,0.527,0.320,0.372,0.000,0.391,0.404
C_Error_Incorporation_Gen1,0.293,0.406,0.325,0.120,0.365,0.365
A_Initial_Baseline_Baseline,0.294,0.380,0.322,0.200,0.358,0.358
MV_Full-Network_Llama-4-Maverick,0.346,0.306,0.321,0.200,0.391,0.391
B_Task_Modularisation_Gen1,0.220,0.306,0.237,0.180,0.277,0.277
C_Error_Incorporation_Gen1_PredEx,0.205,0.264,0.222,0.020,0.262,0.272
MV_Full-Network_Kimi-K2,0.060,0.043,0.049,0.060,0.049,0.049
